sample,unit,location,,,,,,major elements in wt. %,,,,,,,,,,,,Trace elements in ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiogenic isotopes,,,,,,,,,,,
,,degr. N,min.,degr. W,min.,depth (mbsl),,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,BaO,P2O5,,Li,Be,Sc,Ti,V,Cr,Co,Ni,Cu,Ga,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,,87Sr/86Sr,2 SE,143Nd/144Nd,2 SE,176Hf/177Hf,2 SE,206Pb/204Pb,2 SE,207Pb/204Pb,2 SE,208Pb/204Pb,2 SE
NA007-058,1650 AD,36,31.546,25,28.535,220,,73.53,0.09,13.56,1.35,0.1,0.3,0.86,5.8,4.36,0.055,0.011,,23.14,2.43,8.07,433,0.54,0.23,0.31,0.42,5.36,14.55,93.1,48.4,20.42,130,19.5,0.74,1.71,423.6,22.36,37.26,4.39,14.93,2.72,0.353,2.42,0.426,2.83,0.607,2.02,0.345,2.5,0.402,3.56,1.59,0.64,1.75,15.45,0.15,11.37,2.68,,0.704813,0.000008,0.51273,0.000009,0.282965,0.000009,18.7342,0.0004,15.6649,0.0004,38.8241,0.0011
NA007-071**,1650 AD,36,30.868,25,28.958,182,,74.27,0.1,13.97,1.56,0.11,0.29,0.91,4.29,4.43,0.056,0.016,,21.44,2.21,10.28,509,1.01,0.3,0.37,0.23,4.06,13.84,87.4,62.4,20.05,138.5,18.14,0.69,1.56,404.5,22.89,39.97,4.47,15.26,2.71,0.402,2.4,0.424,2.75,0.592,1.94,0.335,2.42,0.382,3.57,1.43,0.58,1.44,14.17,0.13,11.28,2.55,,0.704986,0.000009,0.51274,0.000006,0.282953,0.000008,18.7362,0.0005,15.6661,0.0004,38.8268,0.0012
NA007-073,1650 AD,36,30.837,25,28.942,151,,73.66,0.09,13.61,1.39,0.1,0.3,0.84,5.56,4.39,0.053,0.012,,26.67,2.33,5.84,388,0.59,0.79,0.26,0.84,7.66,14.33,108.1,55.6,22.8,131.9,18.89,0.71,2.13,437.1,26.82,48.02,5.14,17.42,3.04,0.409,2.72,0.48,3.08,0.677,2.22,0.382,2.7,0.42,3.58,1.49,0.57,1.51,15.06,0.14,13.53,2.91,,0.704787,0.000009,0.512737,0.000006,0.282943,0.000009,18.7355,0.0005,15.666,0.0005,38.8267,0.0014
NA007-075*,1650 AD,36,31.163,25,29.473,373,,75.29,0.07,13.73,1.42,0.12,0.21,0.89,4.04,4.21,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,4,n.d.,1,n.d.,14,110.3,58,22.9,126,19.4,n.d.,n.d.,436,30,57,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-085*,1650 AD,36,31.983,25,29.165,254,,74.41,0.07,13.73,1.37,0.11,0.2,0.8,4.99,4.28,n.d.,0.03,,n.d.,n.d.,n.d.,n.d.,1,4,n.d.,1,n.d.,13,106.4,60,22,124,18.9,n.d.,n.d.,375,24,49,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13,n.d.,13,2,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-090**,1650 AD,36,31.736,25,28.766,292,,74.77,0.08,13.74,1.42,0.1,0.23,0.84,4.32,4.43,0.054,0.013,,23.34,2.53,10.54,450,0.94,0.44,0.32,0.48,2.21,14.89,98,55.4,22.09,130.1,19.73,0.77,1.72,412.3,24.63,42.9,4.79,16.27,2.85,0.38,2.6,0.459,3.01,0.637,2.06,0.367,2.55,0.408,3.45,1.53,0.64,1.64,16.75,0.13,12.14,2.74,,0.705072,0.000009,0.512741,0.000006,0.282952,0.000008,18.7284,0.0005,15.6654,0.0005,38.8132,0.0016
NA014-019**,1650 AD,36,31.587,25,29.207,502,,74.43,0.1,13.94,1.5,0.1,0.17,0.9,4.42,4.36,0.058,0.018,,17.6,2.55,9.11,457,2.18,0.29,0.29,0.5,4.34,14.1,103.4,65,19.76,148,18.25,0.84,2.01,460.3,25.31,55.95,4.91,16.64,2.93,0.432,2.55,0.454,2.87,0.626,2.01,0.343,2.47,0.387,4,1.52,0.6,1.71,23.89,0.13,13.2,3.45,,0.704791,0.000009,0.512737,0.000008,0.282968,0.000008,18.7417,0.0007,15.6731,0.0006,38.8463,0.0016
NA007-051*,K2,36,31.76,25,29.593,311,,74.73,0.07,13.92,1.49,0.12,0.11,0.92,4.62,4,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,3,n.d.,0,n.d.,15,111.2,71,23.2,143,19.8,n.d.,n.d.,465,30,57,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-052*,K2,36,31.814,25,29.636,260,,74.78,0.08,13.91,1.51,0.12,0.11,0.88,4.59,4,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,2,n.d.,1,n.d.,15,111.9,68,23.6,146,20,n.d.,n.d.,468,30,59,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-053*,K2,36,31.978,25,29.398,158,,75.07,0.08,14.01,1.48,0.11,0.11,0.9,4.11,4.09,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,2,n.d.,1,n.d.,14,111.2,71,23.5,148,19.9,n.d.,n.d.,463,30,59,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-054*,K2,36,31.968,25,29.391,167,,74.55,0.08,14.08,1.55,0.13,0.2,0.89,4.45,4.05,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,2,2,n.d.,1,n.d.,15,110.2,71,23.2,145,19.8,n.d.,n.d.,460,29,60,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-055,K2,36,31.865,25,29.37,311,,74.04,0.1,13.96,1.48,0.1,0.18,0.93,5.19,3.95,0.055,0.014,,24.77,2.56,5.63,449,0.89,b.d.l.,0.32,0.24,1.65,15.03,118.5,73,23.86,134.6,19.17,0.72,2.15,471.2,33.42,70.3,5.76,19.18,3.35,0.504,2.95,0.512,3.25,0.707,2.3,0.387,2.78,0.429,3.65,1.54,0.55,1.47,16.88,0.11,14.61,3.22,,0.704297,0.000009,0.512745,0.000007,0.282957,0.00001,18.7345,0.0006,15.665,0.0005,38.8253,0.0015
NA007-077,K2,36,31.095,25,29.505,286,,74.72,0.08,13.97,1.5,0.11,0.11,0.91,4.61,3.97,n.d.,0.02,,28.45,2.57,5.35,461,0.85,b.d.l.,0.36,0.23,1.34,15.28,121.5,66.5,22.43,143,19.63,0.71,2.25,471.2,27.91,64.78,5.4,18.13,3.16,0.477,2.76,0.48,3.13,0.685,2.16,0.368,2.68,0.423,3.83,1.55,0.57,1.61,16.1,0.14,13.88,3.12,,0.704144,0.000009,0.512733,0.000007,0.282945,0.000008,18.7359,0.0005,15.6667,0.0004,38.8284,0.0013
NA007-079,K2,36,31.357,25,29.626,340,,73.97,0.11,13.98,1.7,0.11,0.3,1.23,4.64,3.94,n.d.,0.02,,20.8,2.34,5.73,474,6.79,0.47,1.76,0.58,5.13,14.33,105.8,60.3,21.56,125,18.36,0.71,2.15,439.8,25,52.56,4.8,16.16,2.9,0.423,2.58,0.456,2.98,0.651,2.1,0.358,2.57,0.408,3.43,1.5,3.98,1.54,15.17,0.15,12.8,2.79,,0.704355,0.000009,0.512733,0.000007,0.282963,0.000007,18.7351,0.0005,15.6666,0.0004,38.8301,0.0014
NA007-092*,K2,36,31.264,25,28.578,260,,74.72,0.09,13.99,1.48,0.11,0.13,0.91,4.66,3.89,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,2,6,n.d.,1,n.d.,15,110.3,72,23.4,146,19.8,n.d.,n.d.,458,31,59,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-079B,enc-K2,36,31.357,25,29.626,340,,60.5,0.66,16.53,5.82,0.14,3.35,6.75,3.88,2.23,0.034,0.12,,12.76,1.47,22.44,3225,147.5,9.45,17.3,11.28,14.52,15.96,57.9,334.2,23.27,99.6,11.78,0.42,1.1,292.9,22.99,44.58,5.1,19.17,3.76,0.922,3.54,0.583,3.61,0.765,2.3,0.356,2.44,0.373,2.7,0.883,0.77,0.78,9.28,0.07,9.75,2.05,,0.703685,0.000009,0.512782,0.000007,0.282984,0.00001,18.7538,0.0006,15.6615,0.0005,38.8078,0.0016
NA007-062,lava,36,31.577,25,28.511,172,,60.73,0.83,17.67,5.76,0.15,2.42,6.2,3.98,2.05,0.044,0.179,,11.52,1.32,19.78,4232,117.8,1.17,11.7,1.65,10.98,18.48,37.2,554,25.29,159.5,10.27,0.42,0.55,367.1,17.33,35.7,4.36,17.8,3.96,1.2,3.97,0.639,3.92,0.829,2.47,0.382,2.51,0.38,3.78,0.642,0.16,0.46,10.09,0.03,5.1,1.41,,0.703593,0.000009,0.512815,0.000008,0.282956,0.000009,18.7523,0.0006,15.6497,0.0005,38.7649,0.0015
NA007-076,lava,36,31.125,25,29.503,325,,52.01,0.94,18.21,7.97,0.16,5.07,11.5,2.9,1.06,n.d.,0.172,,7.62,0.9,25.2,4770,214.6,16.72,24.26,11.86,24.83,15.09,22.6,472.5,19.96,77.4,6.37,0.14,0.53,173.5,16.52,34.07,4.2,17.06,3.52,1.05,3.48,0.532,3.31,0.676,2,0.287,1.86,0.283,1.98,0.407,0.2,0.35,6.21,0.04,5.99,1.22,,0.703614,0.000008,0.51282,0.000009,0.283004,0.000008,18.8128,0.0005,15.6512,0.0005,38.7636,0.0015
NA007-091*,lava,36,31.328,25,28.751,343,,60.88,0.8,17.57,6.04,0.16,2.36,6.14,3.88,1.98,n.d.,0.181,,n.d.,n.d.,n.d.,n.d.,105,6,n.d.,0,n.d.,18,35.8,563,23.2,161,9.7,n.d.,n.d.,372,18,38,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,8,n.d.,5,0,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-111*,lava,36,31.232,25,28.958,460,,60.63,0.82,17.6,6.13,0.16,2.42,6.22,3.83,2,n.d.,0.181,,n.d.,n.d.,n.d.,n.d.,110,5,n.d.,0,n.d.,18,35.9,568,23.1,160,9.7,n.d.,n.d.,379,17,37,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,8,n.d.,5,0,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-114*,lava,36,31.21,25,28.968,430,,61.59,0.79,17.78,5.32,0.15,2.31,6.07,3.7,2.09,n.d.,0.191,,n.d.,n.d.,n.d.,n.d.,105,6,n.d.,1,n.d.,18,37.7,561,23.3,163,9.9,n.d.,n.d.,374,17,38,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,7,n.d.,5,0,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-115,lava,36,31.199,25,28.935,368,,60.15,0.84,17.66,6.23,0.15,2.5,6.33,3.82,2.1,0.042,0.176,,9.65,1.37,20.89,4122,124.7,1.11,12.57,1.69,13.6,17.81,35.5,538.6,24.22,151.1,9.76,0.38,0.51,357.4,16.55,34.08,4.2,17.17,3.81,1.18,3.82,0.628,3.9,0.82,2.42,0.363,2.47,0.377,3.68,0.614,0.15,0.48,10,0.04,5,1.37,,0.703585,0.000009,0.512807,0.000008,0.282952,0.000008,18.7534,0.0006,15.6507,0.0006,38.77,0.0016
